Age,Department,Distance_From_Home,Years_At_Company,Average_Monthly_Hours,Number_Of_Projects,Satisfaction_Level,Last_Evaluation,Salary,Attrition
50,Engineering,24,7,194,5,0.92,0.84,14703.62,0
36,Engineering,11,5,211,2,0.13,0.84,11817.79,1
29,HR,15,3,194,5,0.72,0.36,8883.03,0
42,IT,8,13,161,6,0.91,0.81,15087.98,0
40,Sales,14,8,235,6,0.36,0.91,12006.48,0
44,HR,1,0,147,6,0.74,0.55,10063.67,0
32,Engineering,10,3,129,4,0.78,0.55,11593.14,0
32,IT,7,8,179,2,0.7,0.79,11711.06,0
45,Marketing,18,3,149,6,0.81,0.54,10773.87,0
57,Sales,12,6,142,3,0.83,0.82,13234.98,0
45,Engineering,2,8,120,6,0.67,0.34,13410.76,0
24,HR,18,0,200,4,0.99,0.76,7196.97,0
43,IT,29,5,151,3,0.7,0.41,11572.54,0
23,Sales,21,5,199,2,0.86,0.9,9256.55,0
45,IT,7,4,193,2,0.72,0.49,12294.87,0
51,Marketing,20,6,142,6,0.97,0.73,11996.47,0
59,HR,27,7,147,3,0.95,0.76,13364.52,0
23,IT,12,5,131,3,0.72,0.35,10405.56,0
42,Engineering,20,4,240,6,0.25,0.96,13845.06,0
54,HR,25,7,192,6,0.35,0.94,13762.02,1
33,Engineering,14,5,253,5,0.25,0.85,12432.78,1
43,IT,10,4,199,5,0.77,0.78,12470.55,0
46,HR,9,1,240,6,0.34,0.81,10072.36,0
48,Engineering,23,0,275,4,0.25,0.98,12089.28,0
49,Marketing,15,1,195,5,0.82,0.86,10893.55,0
37,Marketing,26,6,127,6,0.64,0.33,9588.19,0
36,IT,20,5,132,3,0.72,0.49,11996.26,1
24,HR,24,1,261,5,0.12,0.99,9435.88,1
58,Sales,10,7,187,4,0.78,0.96,13873.22,0
28,HR,19,9,189,2,0.75,0.95,11935.12,0
42,Marketing,19,3,155,3,0.93,0.88,11462.25,0
30,Engineering,12,0,133,4,0.64,0.45,8888.53,0
39,Sales,23,3,135,4,0.88,0.81,9546.7,0
25,IT,29,7,241,4,0.29,0.98,11811.0,0
46,Sales,27,7,256,3,0.15,0.88,12500.5,1
35,IT,12,2,230,4,0.32,0.99,10974.7,0
30,Sales,9,10,153,2,0.68,0.59,11881.24,1
47,IT,29,9,137,5,0.62,0.57,15010.67,0
23,IT,27,3,144,3,0.76,0.5,9791.21,0
41,Sales,20,3,255,4,0.11,0.98,10460.65,1
49,Sales,4,3,197,6,0.69,0.34,10720.54,0
28,IT,1,3,164,5,0.71,0.78,10272.47,1
29,Marketing,16,8,129,3,0.61,0.43,10723.75,0
56,Sales,1,6,188,6,0.97,0.85,12994.03,0
35,HR,13,8,266,6,0.15,0.98,12232.32,1
38,Engineering,3,7,198,4,0.91,0.76,13371.15,0
57,IT,12,10,143,3,0.66,0.51,15481.95,0
25,IT,29,2,220,4,0.33,0.96,11406.22,1
23,Engineering,23,5,259,2,0.24,0.96,11306.01,1
27,Marketing,29,0,199,6,0.77,0.78,8012.81,0
25,Engineering,9,1,162,2,0.79,0.74,8718.99,0
50,Sales,4,5,136,4,0.74,0.57,10503.08,0
39,Engineering,2,6,237,5,0.13,0.94,13414.13,1
47,IT,22,5,185,6,0.98,0.87,13349.16,0
55,Engineering,22,3,197,5,0.81,0.93,13346.23,0
31,HR,9,4,128,3,0.61,0.55,8846.69,0
57,Sales,20,9,163,6,0.73,0.49,13752.49,0
35,Engineering,24,4,228,2,0.33,0.89,11497.52,0
52,IT,13,10,179,5,0.89,0.84,16189.13,0
36,Sales,14,7,169,3,0.85,0.54,11956.3,0
29,IT,29,6,203,6,0.82,0.77,11288.03,0
35,Marketing,3,1,143,3,0.67,0.46,9049.57,0
44,HR,18,8,124,2,0.84,0.41,11832.1,0
42,Marketing,9,4,164,6,0.63,0.54,9982.81,0
37,HR,15,1,171,3,0.73,0.78,9071.83,0
39,Engineering,22,7,198,4,0.99,0.99,13426.54,0
45,Sales,27,1,141,6,0.68,0.31,8855.39,0
47,Engineering,24,3,216,6,0.73,0.91,13470.14,0
46,HR,27,5,169,6,0.61,0.56,11099.06,0
50,HR,10,12,162,6,0.72,0.4,12841.47,0
36,HR,25,3,291,4,0.17,0.9,10247.76,0
22,IT,17,4,166,2,0.68,0.58,10302.4,0
46,Sales,13,7,249,4,0.15,0.99,12324.04,1
28,Engineering,1,1,173,4,0.8,0.83,9272.93,0
30,Engineering,11,6,181,3,0.77,0.43,11224.54,0
45,Marketing,5,9,168,5,0.91,0.95,12491.46,0
22,HR,9,4,113,5,0.67,0.48,7968.84,0
29,HR,7,8,203,3,0.85,0.79,11122.82,0
45,HR,7,6,156,4,0.64,0.36,10734.33,0
32,Engineering,2,3,236,3,0.3,0.99,11509.69,0
38,Marketing,19,4,191,6,0.82,0.32,10357.75,0
29,IT,20,4,222,3,0.39,0.91,11236.9,1
56,Sales,18,5,174,3,0.97,0.72,13560.48,0
56,IT,10,5,123,6,0.78,0.54,14059.69,0
54,Engineering,25,7,154,5,1.0,0.82,14167.62,0
26,HR,5,7,258,6,0.25,0.95,10358.75,1
49,Sales,16,0,230,2,0.33,0.9,10068.53,1
28,Engineering,29,5,184,3,0.68,0.52,11157.39,0
30,Engineering,23,0,143,3,0.77,0.75,10665.28,0
